,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,333,0_moon_landing_moon landing_fake,"['moon', 'landing', 'moon landing', 'fake', 'nasa', 'space', 'apollo', 'like', 'just', 'fake moon']","['the CIA is part of NASA deception of the fake ""moon landing""....', 'Moon landing, NASA and ISS all fake!!!', '@TRUMPSMYPRES4EVER Faker than the moon landing']","0, moon, landing, moon landing, fake",333
2,1,140,1_amp_lied_father_jew,"['amp', 'lied', 'father', 'jew', 'israel', 'dod', 'jews', 'got', 'world', 'people']","['For me ""The Octopus"" is the ADL Federal Reserve Corporation of Gay &amp; Lesbian Jews. They are Foreign &amp; part of the Biggest International Criminal Cabal in the History of the World. There are underground cities you will never see. Some have never been on the surface. They actually fear something will fall out of the sky. I had someone walk fast behind me. ""We all bleed the same. No one cares about you or what you say. You are about to be very sorry,"" &amp; the guy disappeared. The USDOJ is the biggest bunch of criminals in the history of the world. They are administrators of information &amp; work with NSA &amp; all Alphabet Agencies. JFK,Vietnam War, Watergate ... Inslaw, the Octopus ... Promis .. 1776 Rothschild Opium Cartel started the Fraternity System at William &amp; Mary literally met underground for what would become Synagogues, Courts, Train Stations, Airports, Public Buildings, Town Halls could be severed, having sex in the neck hole, consuming flesh &amp; blood. Children who are entitled to become important people got pissed, shat on, &amp; would do anything they are Blind thal was such a child. He owns the Empire State 1000s of years family trees are followed thru a Father\'s line &amp; also their Mother\'s.My Paternal Grandfather went back Grandather to Grandfather. My Grandfather on my Mother\'s side the same Predictive Programing my DoD Monsato was told I would be a boy before I showed up in mid February said I was Gay &amp; Lesbian Jew Killer &amp; would act alone &amp; take revenge when ripped out. They found out before I turned 5, they were Mother\'s Father, Clair W. Lynn used math to figure out molecules &amp; formulated Latex Paint, &amp; understood how to manufacturer biological agents &amp; his to deploy Father pursued my Mother to steal Clair\'s Notes &amp; ancient scrolls on chemistry &amp; DNA from a Berlin Derp Underground Fallout Shelter, very ancient.I have been down in them all over the world. My Paternal Grandfather S G Erickson, &amp; his Paternal Grandfather Sven Gustaf Erickson had drawings of airplanes &amp; spacecraft in a Derp Underground in North Dakota in the early 1800s.A Picture of a boy looking exactly like me is pictured with John Wilkes Boothe when I was the same part of University of Chicago MK-UKTRA IRB they tested using a power station if my brain waves could be magnified in that I visited in their sleep died. I haven\'t had a private conversation since this is directed out of Israel by Gay &amp; Lesbian Jews. They intend to wipe out all non Gay &amp; Lesbian Jews.I have been prevented from getting close to my Mother &amp; Sisters.A bounty was put on women I got pregnant to separate them from me &amp; for them to get abortions.I have one daughter &amp; from the time she was born in 1987. I was railroaded to prison in 2002 to be completely estranged from my daughter &amp; most of my family.I tried to rat out my Father for gave Foreknowledge of JFK Assassination, Gulf of Tonkin, Fake Moon Landing Footage, Watergate, 1982 Tylenol being laced with Arsenic, Challenger being rigged to explode with New Hampshire Teacher aboard shuttle, 9-11 etc. have never been compensated for all the H W Bush knew my name age 4 in 1968. Video about him: The Octopus: I was able to read at 4 in 1968. I typed a Letter to Richard Nixon suggesting that he hang Henry Kissinger on the front lawn of the White House &amp; was in 1969. My DoD Monsanto Father said I had burned all the bridges I would ever have in life. He said he would make sure I died alone, hopefully in prison, &amp; nobody would care ... I was 5 ... I had seen a picture of both George H W Bush &amp; Henry Kissinger as they worked as little boy prostitutes for Gay &amp; Lesbian Jews running ADL Federal Reserve Corporation. They had wigs on, dresses, &amp; they were on all fours with their butts raised up. Their butt-holes were so abused that they looked like old woman vaginas. My World War 1 Veteran Mentor showed me pictures of either Marilyn Monroe or Jane Mansfield naked first. I knew from being around Gay Rabbis Judges Lawyers FBI Police etc age 5 that they were going to wreck the country as bad as they have, then try to kill us all. @SvenVonErick for more', ""Working on car, lots of officials &amp; supposed civilians taking pictures &amp; video of me in slow drive-by's &amp; stopping &amp; getting out for me to see them take pictures. I get my phone out, they are gone. My DoD Monsanto Father was offered eternal life to merge with Machines. He is going to be 85 in July 28, 2025. With DARPA, Raytheon, Sikorsky, Lockheed Martin, DoD, NATO, UN etc Crowd my Father is responsible for changing the DNA of most of the planet. Bugs, Plants, Animals, Plankton. Cleveland Ohio is one of the underground banks to store DNA for possibly billions of &amp; the Flag as we see it has been reincarnated an infinite number of same leaders show up again, &amp; again. Because of my DNA, I am supposed to cause a Worldwide Ripple, &amp; believe I 2 going on 3, I have memories of my Father coming in choking me unconscious after slapping me, punching me, taking his belt to my ass &amp; back. I got black eyes, he probably broke my nose ribs, &amp; I had skull fractures. He would steal all my silver &amp; toys my grandfathers gave me because as the 6th child in a 2 bedroom Farmhouse with no electricity or running water, 9 miles from nearest neighbor where is gets as cold as Arctic in North Dakota Winters, he had only one set of clothes, underwear, socks, shoes repaired to the point of not much of the original garment was original ...So, he threw out my newer clothes, &amp; had my mother go to thrift stores &amp; make me wear unwashed thrift store clothes in the 1960s still smelling like urine, feces, sweat, smoke, &amp; mothballs. My Father had 100s of millions of CDC Chinese Digital Currency In the is the currency of International Organized Crime from 1954 NSA. It is Crypto Currency, they have all the codes &amp; passwords. It is the controlled opposition to their ADL Federal Reserve USAF is full of Gay &amp; Lesbian Jews as part of the ROTC recruiting process. They infiltrate all Criminal Gangs, &amp; start youth gangs mostly selling single cigarettes from about the 3rd Grade to have Criminal Cells to undermine all countries &amp; introduce all to the Submission of Satanism thru the Consortium of MA 3rd Shift Jewish Cops would recruit Goyem such as me to break into houses &amp; loot was stored under the Jewish Community Center &amp; of University of Chicago IRB I could read &amp; write from age 3, &amp; had grammar &amp; ability to type with all my fingers with the equivalent of a Masters Degree at 5. I didnt have to look up words, my grammar was perfect &amp; I rarely made a mistake typing at 1969 I typed a Letter to the Editor to Newspapers all over the US about the Moon Landing being fake naming all the shooters in the JFK Assassination. So of Nikita Kruschev son Sergei defected to the US to teach at Brown got me KGB Files on JFK Assassination in Russian. He got me Iranian Press &amp; KGB that wanted to prevent Israel from pulling 9-11. So I met them in Paris France at Jim Morrisons Grave at 7 AM &amp; Eiffel Tower in Paris France &amp; Mossad whacked them.I tried to get JFK Jr. the files in Somers CT, the KGB File on the day he died. Connecticut State Police Troop C abducted me &amp; made me under duress signing over my Apartment Buildings over to Peter Coukos &amp; the Chinese then took my million dollar plus net worth, caused my divorce, permanent estrangement from my daughter, &amp; then railroaded me to prison out of Court Zip Code 06066 for 2 bogus misdemeanors that should have resulted in no trial, $100 fine, no report probation &amp; then erasure of my charges after 6 Spellman &amp; George Soros gave CT State Police Troop C over $1 million Cash, US AID, with a $100,000 Bounty going to Person who killed me, or got me railroaded to be jumped into the gang, IDF run &amp; trained policing, you have to Railroad a Straight Christian Male to Prison, destroying his family, making him lose his home, to become broke, in &amp; out of prison, &amp; unemployable having no social status &amp; Everything an Op?: was mainly after Hillary as NY US Senator for stacking Appellate Court so if arrested any 9-11 Perps skate on Appeal. I turned in this embedded video into FBI causing Spitzer Embarrassment ...&amp; should have ended up in Hillary Clinton for stealing the NY US Senate Seat ...to load the Appellate Court to run interference ...so no one was prosecuted for the Basile Switzerland &amp; Israel using Chine, DoD, NATO etc to pull 9-11 to hijack everything world happened weeks later: (Eliot Spitzer goes live with his wife apologizing to his wife for using his Bank Card to charge for $6000 Hookers using New York Governor Campaign Funds)Picture of Preserved Beets from 1941: @SvenVonErick for more"", 'Spoiler Alert Obama\'s Netflix Totally Gay &amp; Lesbian Stealth Pre Version of Pirates of the Caribbean Treasure Island ""Black Sails"": LA Gay &amp; Lesbian Jew Child Trafficking &amp; Satanic Sacrifice Caves &amp; Tunnels. The ""Black Sails"" series shows LBGTQ+ Lifestyle means Power &amp; Riches. Heterosexuality leads to a painful death with none of life\'s dreams (AI keeps changing dreams to ""fear""). Lesbians of Color are the top of the Food Chain: With the Stealth Passage of the ADL Federal Reserve Passage to eventually create the UN WEF BlackRock Umbrella turn out of Public Education Satanist Pedophile Ashkenazi Jewish Gay Mafia Rothchiled Opium Cartel goal of 80% of World being LBGTQ+. I want to produce the opposite of Obama\'s Netflix Content to re-educate children what is normal. The Springfield Longmeadow Jewish Community Center Rabbis use Gays, Lesbians, &amp; Pedophiles working with the IDF run Int\'l Police &amp; Teachers Unions to recruit underage prostitutes, drug dealers, thieves, thugs, gang members, burgarlars, &amp; murderers thru UN Community Policing. I could read &amp; write at 4. I was playing chess at a Master Level before age 5. Mossad taught me how to befriend Black Families, get to know their dogs, layout of house, &amp; have me burn down houses so Jews would get free houses built back better with No Pay Back Loans as Rabbis Worldwide are the biggest Mafia Ever. I heard my DoD Monsanto Father plotting the Springfield MA race riots. Genetically Altered Brain Worms was added to Roundup &amp; Agent Orange. My Father wanted MPs in Military to get tainted vaccines so they could not enjoy their pensions because he\'d say, ""Cops are too stupid to collect carts &amp; grocery store. Should all be sterilized."" DoD NATO UN is Gay &amp; Lesbian Jews. They soy on everyone &amp; Israel is main base. Monsanto with IDF run FBI Intelligence had planned on getting all of US cities to burn down using tainted vaccines, tainted water, food, alcohol, packaging, illegal drugs &amp; everything going into cats &amp; dogs to further fuel violence, chaos, mayhem, &amp; strive ... The False Jew Suicide Cult of Destroying the Surface of the Planet. My Father was testing street lights putting out different frequencies to cause Domestic Violence &amp; marital rape including bi sexual incest of children, out neighbors. The Springfield Longmeasow MA Jewish Community Center provide my Father Audio Surveillance of neighbors to see which vaccines, drugs, frequencies, &amp; stimulus did what. The University of Chicago IRB had Rabbis thru DoD NATO possess me with Demons to do their bidding from 1966. I can still hear an African American Woman screaming as her little daughter burned up in her crib in a fire I set after a Gay Jewish Springfield MA Police Officer dropped me off in middle of night with gaggle of partially filled gallon gas cans. My DoD Monsanto Father would go to Westover AFB to meet our Ludlow MA neighbor when he would fly in from China &amp; Japan with local Police Chiefs to pick up cash printed on CIA presses, drugs, kids in dog cages, &amp; all sorts of surveillance equipment &amp; eye &amp; ear test machines for getting iris scans &amp; DNA back to China. I knew how my Father set up raids for me to do at night. I knew Jew addresses of key players &amp; I targeted them. I caused facial disfiguration &amp; genital mutilation in 3 Jews, a Judge, Agent Smith in FBI, a Rabbi, &amp; killed a Jew Lawyer tied to a chair in the Roll Call Room at the Ludlow MA PD Station all before age 5. I was high on Monsanto Meth &amp; LSD. DoD Child Date Rape Drugs didn\'t work on me so I remember being underground at ADL Federal Reserve Satanic Child Ritual Sacrifices from being just out of diapers. I have never been compensated. I tried to rat them out sometime before or after the Live Fake Moon Landing that my Father wouldn\'t watch with me because he hates me &amp; already seen the footage 100\'s of times. I grandfather got me a copy of my Father\'s 1963 ROTC White Paper for Israel to whack JFK. So in 1969 I knew the truth about the Kennedy Assassination &amp; called BS on the Moon Landing. I typed a letter to Nixon that Henry Kissinger should be hung out on the Front White House Lawn &amp; all Jews involved in the ADL Federal Reserve Fraud to steal all the wealth of USA should be hung by the neck in all Town Squares by piano wire. 4 Full Time retired FBI &amp; CIA were hired to watch me full time while I started the 1st Grade. WW1 Vets pissed off at the Rothschild Opium Cartel for propagandizing all media, literature, &amp; all Public &amp; Private told me the true history of the world from my age 3 in 1967 because my Grandfather told them that I was to be a National AM Religious Radio Host to lead the world to have a Real Jew Genocide before they killed all life on surface of the planet. My neighbor Donald Doobie (sp?) was the first adult I saw my Father Murder. I can\'t even count the number of people murdered around me for last 6 decades']","1, amp, lied, father, jew",140
3,2,68,2_earth_flat_flat earth_earth flat,"['earth', 'flat', 'flat earth', 'earth flat', 'globe', 'moon', 'fake', 'space', 'bible', 'flatearth']","['@Rottsrnum12 Well, at the end of the day, it is not important whether the earthis round or flat. Yes, we know that the JEWS infiltrate and subvertevery WHITE institution, including science, however, if we did infact make it to the Moon, it was NOT JEWISH intellect and allowed this to happen. Rocket and Jet propulsion camefrom White minds such as Wernher von Braun. Yahweh Godhas given the White Adamic Man the blessings in which ourtechnology comes, He did not do so that we may break thebonds of earth for space travel, and the JEWS most certainlyhave hi-jacked technology for the creation of weapons ofwar. But for us to drone on and create division among ourpeople is a waste of time that is MUCH better spent instudy to gain the wisdom we need to overcome the manydeceptions of the JEWS and do as God expects of us, whichis to ""Prepare the kingdom"" and learn the lessons of SINso that we may oppose the adversaries of God and fulfillthe mission given to Adam and his progeny. Those who insiston making this such a divisive issue are failingin this mission and doing the work of the Flat Earth BS began in ancient Babylon by what we may call ""Proto Jews"".It has been revived recently to create division and controversyamong the ignorant GOY so as to take the spotlight off the MANYcrimes perpetrated by the Demonic JEWS! And these clowns insiston beating us over the head if we do NOT accept this irrelevanttripe. It matters not if it is round, flat, spherical or egg-shaped,maybe it is a damn BAGEL...lolRound Earth RoundtableIs our planet Earth flat? Probably not. But in any case, certain of the flat-earthers are lying about many things. Should Identity Christians care if the Earth is flat? Probably not. And no matter what you may think, the original language of the Bible does not insist that it is. Identity Christians should keep themselves above and away from all of the fringe conspiracy theories that discredit our cause, distract us from what we should be doing, and drive people away from our core message, which is indeed if the earth is flat, will the Jews stop flooding Christendom with niggers? Certainly not. If the earth is flat, will the usury-based banking system fall? Certainly not yet. If the earth is flat, will the yellow and brown vermin infecting and overrunning our society disappear? No, they will not disappear until the true children of Israel repent of their sins annd turn back to Yahweh their God. That will not be accomplished through a flat-earth idol.A group of Christian Identity brethren join us in the discussion. Is Flat as a Pita: The Israelis Who Push the Ultimate Conspiracy TheoryIn their eyes, the moon landing never happened. Another sign of the post-truth era? Flat-Earth Bible?Tonight we are going to talk about Flat-Earth verses from the Bible. Some of these verses are also used to promote a geocentric view of the universe. So let me first state that Flat-Earth proponents usually also support geocentrism, but geocentrism does not necessarily require a flat earth, so the two concepts are separate. But we do not actually intend to discuss the merits or shortcomings of either of these theories. Here we only plan to discuss many of the Bible verses used to uphold these theories, and interpret what we believe these verses are really saying. It is more important to do this, as it should help to lay a solid foundation for real scriptural unfortunately, there is also a hollow-earth theory floating around Christian Identity circles. It is based on a spurious so-called secret diary that claims to be from Admiral Byrd and supposedly records observations he made while crossing the South Pole. Of course, the hollow-earthers in Christian Identity usually fail to mention the German U-boat sailor Karl Ungers claim to have found Rainbow Island in the Hollow Earth at the South Pole, or the story of supposed Air Force Colonel Billie Woodward, that he and his sister were born in the Hollow Earth, and that both of them were hermaphrodites. The Hollow Earth tales are as Kosher as one can get, and when you combine them with the claims of a Flat Earth you rather appropriately end up with a bagel. Being Identity Christians, we should have a greater care to prove what is true, reject Jewish fables, and avoid swallowing such bagels.', '@AussieAnne The Flat Earth BS began in ancient Babylon by what we may call ""Proto Jews"".It has been revived recently to create division and controversyamong the ignorant GOY so as to take the spotlight off the MANYcrimes perpetrated by the Demonic JEWS! And these clowns insiston beating us over the head if we do NOT accept this irrelevanttripe. It matters not if it is round, flat, spherical or egg-shaped,maybe it is a damn BAGEL...lolRound Earth RoundtableIs our planet Earth flat? Probably not. But in any case, certain of the flat-earthers are lying about many things. Should Identity Christians care if the Earth is flat? Probably not. And no matter what you may think, the original language of the Bible does not insist that it is. Identity Christians should keep themselves above and away from all of the fringe conspiracy theories that discredit our cause, distract us from what we should be doing, and drive people away from our core message, which is indeed if the earth is flat, will the Jews stop flooding Christendom with niggers? Certainly not. If the earth is flat, will the usury-based banking system fall? Certainly not yet. If the earth is flat, will the yellow and brown vermin infecting and overrunning our society disappear? No, they will not disappear until the true children of Israel repent of their sins annd turn back to Yahweh their God. That will not be accomplished through a flat-earth idol.A group of Christian Identity brethren join us in the discussion. Is Flat as a Pita: The Israelis Who Push the Ultimate Conspiracy TheoryIn their eyes, the moon landing never happened. Another sign of the post-truth era? Flat-Earth Bible?Tonight we are going to talk about Flat-Earth verses from the Bible. Some of these verses are also used to promote a geocentric view of the universe. So let me first state that Flat-Earth proponents usually also support geocentrism, but geocentrism does not necessarily require a flat earth, so the two concepts are separate. But we do not actually intend to discuss the merits or shortcomings of either of these theories. Here we only plan to discuss many of the Bible verses used to uphold these theories, and interpret what we believe these verses are really saying. It is more important to do this, as it should help to lay a solid foundation for real scriptural unfortunately, there is also a hollow-earth theory floating around Christian Identity circles. It is based on a spurious so-called secret diary that claims to be from Admiral Byrd and supposedly records observations he made while crossing the South Pole. Of course, the hollow-earthers in Christian Identity usually fail to mention the German U-boat sailor Karl Ungers claim to have found Rainbow Island in the Hollow Earth at the South Pole, or the story of supposed Air Force Colonel Billie Woodward, that he and his sister were born in the Hollow Earth, and that both of them were hermaphrodites. The Hollow Earth tales are as Kosher as one can get, and when you combine them with the claims of a Flat Earth you rather appropriately end up with a bagel. Being Identity Christians, we should have a greater care to prove what is true, reject Jewish fables, and avoid swallowing such bagels.', '@Thefreeguy The Flat Earth BS began in ancient Babylon by what we may call ""Proto Jews"".It has been revived recently to create division and controversyamong the ignorant GOY so as to take the spotlight off the MANYcrimes perpetrated by the Demonic JEWS! And these clowns insiston beating us over the head if we do NOT accept this irrelevanttripe. It matters not if it is round, flat, spherical or egg-shaped,maybe it is a damn BAGEL...lolRound Earth RoundtableIs our planet Earth flat? Probably not. But in any case, certain of the flat-earthers are lying about many things. Should Identity Christians care if the Earth is flat? Probably not. And no matter what you may think, the original language of the Bible does not insist that it is. Identity Christians should keep themselves above and away from all of the fringe conspiracy theories that discredit our cause, distract us from what we should be doing, and drive people away from our core message, which is indeed if the earth is flat, will the Jews stop flooding Christendom with niggers? Certainly not. If the earth is flat, will the usury-based banking system fall? Certainly not yet. If the earth is flat, will the yellow and brown vermin infecting and overrunning our society disappear? No, they will not disappear until the true children of Israel repent of their sins annd turn back to Yahweh their God. That will not be accomplished through a flat-earth idol.A group of Christian Identity brethren join us in the discussion. Is Flat as a Pita: The Israelis Who Push the Ultimate Conspiracy TheoryIn their eyes, the moon landing never happened. Another sign of the post-truth era? Flat-Earth Bible?Tonight we are going to talk about Flat-Earth verses from the Bible. Some of these verses are also used to promote a geocentric view of the universe. So let me first state that Flat-Earth proponents usually also support geocentrism, but geocentrism does not necessarily require a flat earth, so the two concepts are separate. But we do not actually intend to discuss the merits or shortcomings of either of these theories. Here we only plan to discuss many of the Bible verses used to uphold these theories, and interpret what we believe these verses are really saying. It is more important to do this, as it should help to lay a solid foundation for real scriptural unfortunately, there is also a hollow-earth theory floating around Christian Identity circles. It is based on a spurious so-called secret diary that claims to be from Admiral Byrd and supposedly records observations he made while crossing the South Pole. Of course, the hollow-earthers in Christian Identity usually fail to mention the German U-boat sailor Karl Ungers claim to have found Rainbow Island in the Hollow Earth at the South Pole, or the story of supposed Air Force Colonel Billie Woodward, that he and his sister were born in the Hollow Earth, and that both of them were hermaphrodites. The Hollow Earth tales are as Kosher as one can get, and when you combine them with the claims of a Flat Earth you rather appropriately end up with a bagel. Being Identity Christians, we should have a greater care to prove what is true, reject Jewish fables, and avoid swallowing such bagels.']","2, earth, flat, flat earth, earth flat",68
4,3,63,3_space_spaceisfake_fake_mars,"['space', 'spaceisfake', 'fake', 'mars', 'moon', 'reality', 'space fake', 'water', 'simulation', 'real']","['@NASA_Official INB4 flerfs:Space is fakeBut the domethe Bible saysnOt A sPaCe AgEnCyGravity not realmuh van allen beltduh loss filesHow\'d dis tiny landing craft make it all the way to da mooonNASA is just a scheme to steal trillions of tax dolla\'sA meme told me water is lebelthere is no 24h Antarctic summer sun, no matter what TFE saysthey never went to the moon the first timebut but but crepuscular rayshOlLyWoOdwhere did they hide the roverAHHHH MASONS!infinity greenscreenmuh stan lee kubriksdey in water, not spacewhy no picturesall pictures fakey no starsCGIrocket not going straightyabut lokat dis memegibs me muh monee bak""""And the number 1 response:""This comment is unavailable because the commenter has you blocked""', 'The Secret Space Program: Reality, Simulation, or Something Else?What if everything we thought we knew about space travel, extraterrestrial contact, and breakaway civilizations was an illusion? Those who claim to have been part of the Secret Space Program (SSP) describe memories of other planets, alien encounters, and advanced cybernetic warfare. But what if those memories were manufactured? What if the real secret is not space, but a far deeper deception about the nature of reality itself? Simulated Realities Were SSP recruits actually off-world, or were they subjected to hyper-realistic training simulations? The Memory Wipe That Didnt Work Why do some remember everything while others recall nothing? Astronauts &amp; False Perception Have space missions been orchestrated psychological operations? Portals, Inner Worlds &amp; Hidden Realms If we traveled anywhere, did we go upor down? The True Purpose of SSP Training Was it about interstellar conquest, or something far more insidious?If secret programs exist, deception is part of their design. The real question is: Was the illusion space itself, or our entire understanding of existence?#SecretSpaceProgram #SimulatedReality #BreakawayCivilization #HiddenAgendas #MemoryWipe #FalsePerception #PsychologicalOps #MindControlTech #PortalsAndDimensions #CosmicDeception #UndergroundBases #AlienContact #CyberneticWarfare #RealityIllusion #SSPWhistleblowers #AdvancedSimulation #OffWorldOps #ConsciousnessManipulation #HiddenHistory #DeepBlackProjects #NASASecrets #SpaceIsFake #InnerEarthTheory #HolographicUniverse #ParallelDimensions #SecretMissions #FalseFlags #ControlledNarrative #OccultTechnology #EsotericIntel', 'The Secret Space Program: Reality, Simulation, or Something Else?What if everything we thought we knew about space travel, extraterrestrial contact, and breakaway civilizations was an illusion? Those who claim to have been part of the Secret Space Program (SSP) describe memories of other planets, alien encounters, and advanced cybernetic warfare. But what if those memories were manufactured? What if the real secret is not space, but a far deeper deception about the nature of reality itself? Simulated Realities Were SSP recruits actually off-world, or were they subjected to hyper-realistic training simulations? The Memory Wipe That Didnt Work Why do some remember everything while others recall nothing? Astronauts &amp; False Perception Have space missions been orchestrated psychological operations? Portals, Inner Worlds &amp; Hidden Realms If we traveled anywhere, did we go upor down? The True Purpose of SSP Training Was it about interstellar conquest, or something far more insidious?If secret programs exist, deception is part of their design. The real question is: Was the illusion space itself, or our entire understanding of existence?#SecretSpaceProgram #SimulatedReality #BreakawayCivilization #HiddenAgendas #MemoryWipe #FalsePerception #PsychologicalOps #MindControlTech #PortalsAndDimensions #CosmicDeception #UndergroundBases #AlienContact #CyberneticWarfare #RealityIllusion #SSPWhistleblowers #AdvancedSimulation #OffWorldOps #ConsciousnessManipulation #HiddenHistory #DeepBlackProjects #NASASecrets #SpaceIsFake #InnerEarthTheory #HolographicUniverse #ParallelDimensions #SecretMissions #FalseFlags #ControlledNarrative #OccultTechnology #EsotericIntel']","3, space, spaceisfake, fake, mars",63
5,4,35,4_moon_nasa_nasa says moon_nasa says,"['moon', 'nasa', 'nasa says moon', 'nasa says', 'deadly gamma radiation', 'says moon hotter', 'says moon', 'hotter sun', 'moon hotter sun', 'hotter sun deadly']","[""@JeffSekerak Lesson One: Neil Armstrong's first step on the moon set 2: NASA says the Moon is hotter than the Sun in deadly gamma radiation so Moon landings are fraud 3: Elon Musk cancels NASA Artemis Moon program"", ""@JeffSekerak Lesson One: Neil Armstrong's first step on the moon set 2: NASA says the Moon is hotter than the Sun in deadly gamma radiation so Moon landings are fraud 3: Elon Musk cancels NASA Artemis Moon program"", ""Lesson One: Neil Armstrong's first step on the moon set 2: NASA says the Moon is hotter than the Sun in deadly gamma radiation so Moon landings are fraud 3: Elon Musk cancels NASA Artemis Moon program""]","4, moon, nasa, nasa says moon, nasa says",35
