,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,311,0_moon_landing_moon landing_fake,"['moon', 'landing', 'moon landing', 'fake', 'faked', 'just', 'like', 'fake moon', 'believe', 'went']","['>>22185624>Fake the moon landing by actually landing on the moonGenius', '>>498243486>Fake the moon landing by actually landing on the moonGenius', '>>49375294Faker than the moon landing.']","0, moon, landing, moon landing, fake",311
2,1,151,1_moon_landing_moon landing_fake,"['moon', 'landing', 'moon landing', 'fake', 'footage', 'nasa', 'believe', 'space', 'real', 'faked']","['moon landing was fake as fuckyou will never ever get me to believe that bullshit', 'the moon landing is fake', ""Why can't we fake another moon landing?""]","1, moon, landing, moon landing, fake",151
3,2,64,2_shit_fake_fake moon_science,"['shit', 'fake', 'fake moon', 'science', 'fake moon rocks', 'moon rocks', 'rocks', 'thats', 'real', 'stupid']","["">>501178412Have you error used eyeball satanic lying. Assholes fake moon rocks NBC all of them are fake kicked the fuck out several places consrvatismmis bokshevik bank head Hellmann holywood adl Bai shit brith talmudic shit aswioe ft hog cheeked bunch of shit mouthedconsevatism is admitted a cult crated as rear guard against for judei freemaosnry and is false states governance innovation systems and institutions so nice failure there idiots atomic wnrgy is fake Nukes are fake space is fake convex vectors are not a plane what's a stirling engine numb nuts you are the communist shit pig stop mind your evil usury regime check wage tax check inheritance tax communist nes media ball earth comontern and cominform and masonic code marx direct quote all freemasonry you are infelds Apostate nat soc is anti communism it's a partial guild of soarta you ars stupid you are anti cathoic you are summa theologaie you a parasite you are poisons phillip the fair longshanks the hapsburgs of 1805 and 1750 burn you at the stake shit Jude judeo freemaosn proto marxist and then hyeprmarxidt sho you arw Marxist you are aids you stupid freedumbbis communism it's enslavement doing a work natural is not a natural stupid dumbass satanic scottishrote you are Satanist you mind meldingnigger ass jewish communist shit pretending brindtein fuse masonry to revolt against Europe and the goyim and Christianity and legitimate state and practices that was done already teh. Re done you are not educated"", "">>497869461Sage all fields hebis debunked head a dumbass a rwlity denier jot truth christ was white angelic and no sex parts he was satanic tlamudic religious fundamentalist lying asswipe jes get off the hoard stupid bots you are not scientist tesl marconi hertz Hitler degrelle marconi again all flat earther earthbis not hindu spewing religous fundamentals hidnuism teaches a flat eargh the top psycho retard atomic enrgybis fake Nukes are fake not real Minecraft is only flat earth you asshole fake rocks there us a vaul moon and sun same size no rotation on an xyz axis asshole is kike stop kike go to LGBT for your fuckign delusion op is a dico sucking retarded monkey uneducated pule of shi trash liar Scottish rite cannibal dog fuckin Druggie you ashole are reality denier dumbass asses ounces and need to be killed time lying fucking zionsit filth and shit you need to be judeo freemasonry and its garbage lying in Hitchens charlatans he never mentioned freemaosn nice uf cults nasa all of them teach Flat eath at top of the pyramid schemes ashole Dennis fahey roght mauroce pinay roght fucking fatima people right hollywood reminder captain cook and admiral byrd with 11 trip no 24 hour dun reminder the lady died at night during the 24 hour sun that's not real get offf the board once no 34 hour convex vectors are not a plane hindu brahmon aka esoteric lying fgs that have their followers under a spell to dmn thei souls for pworr by having eat shit piss nd semen Christopher *bitchens* little botch could not handle reality he invented anything knew nothing of science his hatred of christand hister thank you nosteadamaus aka Hitler and his anti fascist jew shit for pizzrale a satanic flat eatrh all rabbis teach.l flat lying lekemite protocols of zion fiction of shit he was brahmin a Rabbi back brahmin fucked as ls by flat etth chabad logical disassociation nice fake moon rocks h9ax he comes along drunk and high newsflash Boris Yelstin admitted space is fake"", "">>499507165Nukes are fake that rootocls of zion fiction not real that's Marxist communist zionist Kim philby crated lekemitw mossad was society treason macron you cannotbuse something that not fuciing real Alex jonestosn telling satanist retard eatthbis jot ball dumbas the earthbis flst you sruodi racial fucked up littler communist demo masonic shi republic heis a fuck sperg a solendrya an enron a world com Nukes are not real is he is a dumbas he is fucking bnai shit brithos not science atomic erngy soon to killed bit Nukes are fake ball eathbis jot real dumbas pis and shit eating brahamin he is not a catholic not a Christian therefore anti science hertz volta tesla nd marpcno debunked his satanic conspiracy theory of Genetics a hoax Jules a hoax and atoms a hoax it's jot real you do not rela einswine is hell pepdvore and was jot a scientist fake paces is lekem and judeo freemasonry most dumbest the moon is it's own light asshole fucking pig shit convex vectors are not a plane you would have jew are feeble endless dumbas hit eating racial shti pedo cannibal fake moon rocks rockets and missiles do not work on the sky vacuum that's not real brahmin Elon fucks zionist shit more gay scientology you not sane raliens assholes go flee to pizzrale to fuck babies juden shit Patrick James shit pig anti christ dumbas jigger cowar Buchanan hie action are to Judaism goat he is ineffectual and counter productive""]","2, shit, fake, fake moon, science",64
4,3,37,3_jews_people_world_moon,"['jews', 'people', 'world', 'moon', 'moon landing', 'landing', 'jewish', '911', 'did', 'ancient']","['1.What is an Egyptian pyramid doing on a US dollar bill?2. Why did 56 countries sign a treaty not to take risks and enter Antarctica?3. Why do planes never fly over Antarctica?4. How did NASA ""lose"" the photos of the moon landing, one of the most important moments for humanity?5. If Neil Armstrong was the first to walk on the moon, who held the camera?6. Why haven\'t we gone back to the moon?7. If monkeys evolved into humans, why are there still monkeys?8. Why does 95% of our DNA exist as ""junk""? Who decided it was actually ""garbage""?9. How were huge, symmetrical, detailed, sacred, and geometrically regular structures such as cathedrals and parliamentary buildings created by people who lived in log cabins, rode horse-drawn carriages, and had no machines or lasers?10. How is it that similar pre-Columbian architecture is found all over the world?11. Why are there images in ancient Egyptian art that resemble ""spaceships""?12. Why were remains and images of giant people found? And why do different ancient scriptures from various cultures, including the Bible, talk about giants?13. Why are there images of mushrooms in ancient Christian art? And why does the Pope dress up like a giant Amanita muscaria mushroom?14. Why do ancient Egyptian artworks show jaws, and is it a coincidence that the pineal gland resembles jaws?15. Why are there descriptions of dragons all over the world and in different cultures, thousands of years apart, and also mentioned in the Bible?16. Why is there so much blatant satanic symbolism in the music and entertainment industry?18. How is it possible that movies and cartoons like The Simpsons can predict certain cultural events so accurately?19. How do forest fires melt cars but leave trees intact?20. What is the national debt? If there is a borrower, there must also be a lender: who is it?21. How is it that the so-called ""national debt"" has increased despite tax increases? Where does the taxpayer\'s money go?', '21. **Mental Hospitals and Military Bases** Secret tunnels link them to 22. **Hollywood and the Occult** Celebrities like Lady Gaga are either Jewish or controlled by Jews. 23. **Controlled Media Figures** Joe Rogan and Tucker Carlson are CIA plants. 24. **AI and Government Technology** The state has AI far beyond public knowledge. 25. **Cartels and Jewish Influence** Allegations of Jewish control over global drug trade. 26. **CIA and Serial Killers** Murderers are part of intelligence programs. **Mysterious Questions & Unexplained Phenomena:** 27. **Dollar Bill Symbolism** Why is there an Egyptian pyramid on U.S. currency? 28. **Antarctica Treaty Mystery** Why did 56 countries agree to stay out? 29. **Flight Restrictions Over Antarctica** What are they hiding? 30. **NASAs Lost Moon Photos** Why did they ""lose"" historys greatest moment? 31. **Moon Landing Camera Mystery** Who filmed Neil Armstrong if he was the first? 32. **Why Havent We Gone Back to the Moon?** Theories on space travel deception. 33. **Evolution Questions** If humans evolved from monkeys, why are monkeys still here? 34. **Junk DNA Mystery** Why is 95% of our DNA considered ""useless""? 35. **Ancient Architecture Discrepancies** How did primitive people build grand structures? 36. **Pre-Columbian Architectural Similarities** Identical structures worldwidecoincidence? 37. **Ancient Depictions of Spaceships** Egyptian carvings resemble modern UFOs. 38. **Giant Remains Found Globally** Are myths of giants real? 39. **Popes Mushroom Symbolism** Religious imagery linked to hallucinogens. .', "">The Illuminati are a group of satanic pedophiles that actually run the world and behind every major economic event and military alliance in the world that all leaders bow down to>The jews are a group of satanic pedophiles that actually run the world and behind every major economic event and military alliance in the world that all leaders bow down to>The free mason's are a group of satanic pedophiles that actually run the world and behind every major economic event and military alliance in the world that all leaders bow down to>The Earth is actually flat, and governments hides the truth and NASA is complicit in staging fake CGI to pretend we've made it to outer space>The Earth is actually hollow and may contain advanced civilizations which the jews/illuminati/free masons are trying to hide knowledge of and access to>The U.S. faked the moon landing to win the Space Race and colluded with Russia to hide the evidence and the entire cold war was a fraud in order to convince people there is no global order and there are warring factions>The U.S. government orchestrated 9/11 to invade the middle east for oil, scratch that, opium, scratch that, the jews told them to, scratch that, it was to kill Sadam for threatening abandon fiat currency, scratch that, it was just to kill brown people because they're racist>Covid-19 was intentionally faked to get people to take a vaccine that has an implanted microchip with a kill switch that activates in 2023, scratch that, 2025, scratch that, 2030>Governments use airplane contrails to spread chemicals for big pharma, who REALLY run the whole world, and cancer is a psyop / artificial problem in order to sell medical utilities>CERN uses their advanced reactor to go back in time and manipulate events which causes everyone to associate it with mandela effect, and they are actually behind everything>Tartaria was the global hegemon before being destroyed and erased by the elitesThat about sum it all up?""]","3, jews, people, world, moon",37
5,4,32,4_earth_flat_flat earth_moon,"['earth', 'flat', 'flat earth', 'moon', 'space', 'fake', 'level', 'globe', 'provably', 'look']","["">>210040746>moon landing was FAKEcorrect>flat earth anyone?no, that's retarded"", '>>22656271anti crepuscular rays have nothing to do with earth being a globe lol why dont you go ahead and prove earth is curving by showing that, you know, its curving down and away from us the way a sphere would? they say that every mile squared you are apart from someone it should be 8 inches of drop to head level. how come when im 1 mile away from someone, their head level is NOT 8 inches lower? how come when im 2 miles away from someone, their head level is NOT 32 inches lower?in fact, even across 30 mile lakes there is zero curvature-we see 20x too far-gravity cant be proven or measured, its the weakest force by a LOT and no experiment can prove that things are falling due to the ""bending and warping of space time"". even newton didnt believe in gravity in his own principia LOL-earth is provably motionless and your body doesnt detect it-its actually a positive claim to say we\'re spinning at 1000 mph when our default experience is a flat motionless earth, and the burden of proof in logical discussion is on the person making the positive claim, aka, its up to the globe to prove to ME how/why im spinning, and guess what, there is no proof ever provided even at the top level astrophysics-the only proof of a globe comes from government space agencies as they own all the alleged ""satellites in orbit"" and ""deep space telescopes"" -almost everyone on earth thought earth was encased, flat, and motionless for thousands of years. it was only in the last 500 years where the vatican church scientists came along (galileo, newton, euler, kepler, copernicus) and essentially rewrote all the ""lore"" about earth-NASA has provably hoaxed the moon landing and other space footage, there are videos of air bubbles in space, videos of astronauts admitting its fake, greenscreen glitches, harnesses edited out, the director werner von braun whistleblew on his deathbed that space is fake and gay and the government was setting up a long-term alien invasion psyop,', '>>504626767anti crepuscular rays have nothing to do with earth being a globe lol why dont you go ahead and prove earth is curving by showing that, you know, its curving down and away from us the way a sphere would? they say that every mile squared you are apart from someone it should be 8 inches of drop to head level. how come when im 1 mile away from someone, their head level is NOT 8 inches lower? how come when im 2 miles away from someone, their head level is NOT 32 inches lower?in fact, even across 30 mile lakes there is zero curvature-we see 20x too far-gravity cant be proven or measured, its the weakest force by a LOT and no experiment can prove that things are falling due to the ""bending and warping of space time"". even newton didnt believe in gravity in his own principia LOL-earth is provably motionless and your body doesnt detect it-its actually a positive claim to say we\'re spinning at 1000 mph when our default experience is a flat motionless earth, and the burden of proof in logical discussion is on the person making the positive claim, aka, its up to the globe to prove to ME how/why im spinning, and guess what, there is no proof ever provided even at the top level astrophysics-the only proof of a globe comes from government space agencies as they own all the alleged ""satellites in orbit"" and ""deep space telescopes"" -almost everyone on earth thought earth was encased, flat, and motionless for thousands of years. it was only in the last 500 years where the vatican church scientists came along (galileo, newton, euler, kepler, copernicus) and essentially rewrote all the ""lore"" about earth-NASA has provably hoaxed the moon landing and other space footage, there are videos of air bubbles in space, videos of astronauts admitting its fake, greenscreen glitches, harnesses edited out, the director werner von braun whistleblew on his deathbed that space is fake and gay and the government was setting up a long-term alien invasion psyop,']","4, earth, flat, flat earth, moon",32
6,5,24,5_moon_didnt moon_discuss_moon lie,"['moon', 'didnt moon', 'discuss', 'moon lie', 'fit', 'wow', 'moon real', 'writing', 'knows moon', 'didnt']","[""Wow. Just that settles it. We didn't go to the moon. I'm writing moon with a lowercase M because who even knows if the moon is a real place at this do we go from here? Can we discuss on what punishments are fit for those who propagate the moon LIE?"", ""Wow. Just that settles it. We didn't go to the moon. I'm writing moon with a lowercase M because who even knows if the moon is a real place at this do we go from here? Can we discuss on what punishments are fit for those who propagate the moon LIE?"", ""Wow. Just that settles it. We didn't go to the moon. I'm writing moon with a lowercase M because who even knows if the moon is a real place at this do we go from here? Can we discuss on what punishments are fit for those who propagate the moon LIE?""]","5, moon, didnt moon, discuss, moon lie",24
