,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,391,0_911_inside_job_inside job,"['911', 'inside', 'job', 'inside job', '911 inside', '911 inside job', 'bush', 'did', 'did 911', 'bush did']","['g...? As in George Bush did 9/11 it was an inside job?', ""Bush did 911.. fucking freaks.. Netanyahu did Israel's 911 and created Hamas.. All to thwart the left wing Arafat who they assassinated like Rabin.."", 'Everybody know Bush did 911']","0, 911, inside, job, inside job",391
2,1,141,1_attacks_911 attacks_911_saudi,"['attacks', '911 attacks', '911', 'saudi', 'trump', 'attack', '911 attack', 'funded', 'saudi arabia', 'arabia']","[""their way into Trumps inner circle. This is the same regime that: Finances Hamas Was found guilty of bribing hundreds of European Union officials to sway policy in its favor Financed 9/11 attacks And it's not just Trump with his snout in the trough: Pam Bondi Qatars registered"", 'And helped Khalid Sheikh Mohammed evade capture for many years. Now they just bought their way into Trumps inner circle. This is the same regime that: Finances Hamas Was found guilty of bribing hundreds of European Union officials to sway policy in its favor Financed 9/11 attacks', ""Now they just bought their way into Trumps inner circle. This is the same regime that: Finances Hamas Was found guilty of bribing hundreds of European Union officials to sway policy in its favor Financed 9/11 attacks And it's not just Trump with his snout in the trough: Pam (2/5)""]","1, attacks, 911 attacks, 911, saudi",141
3,2,28,2_johnson_ron johnson_ron_senator,"['johnson', 'ron johnson', 'ron', 'senator', '911', 'inside job', 'job', 'inside', '911 inside job', '911 inside']","[""'Covered up': GOP Sen Ron Johnson suggests 9/11 was an inside job"", ""'Covered up': GOP Sen Ron Johnson suggests 9/11 was an inside job"", ""'Covered up': GOP Sen Ron Johnson suggests 9/11 was an inside job""]","2, johnson, ron johnson, ron, senator",28
