,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,548,0_moon_landing_moon landing_fake,"['moon', 'landing', 'moon landing', 'fake', 'nasa', 'space', 'fake moon', 'people', 'went', 'believe']","['Why show the fake moon landing?', 'What about the moon? The fake moon landing doesn&apos;t count.', 'That was faker than the moon landing.']","0, moon, landing, moon landing, fake",548
2,1,138,1_nasalies_rt_notaspaceagency_nasalies rt,"['nasalies', 'rt', 'notaspaceagency', 'nasalies rt', 'nasa', 'whynasaliestous', 'truth', 'nasalies notaspaceagency', 'nasabudget', 'spaceisfake']","['RT @waterford45#Internationalfakestation #NASAlies', 'RT @PureBloodPatriot17Once you see it, you cant unsee it.#NASAlies', 'RT @waterford45#ThinkMirror #NASAlies']","1, nasalies, rt, notaspaceagency, nasalies rt",138
3,2,62,2_truth_trump_trust_just,"['truth', 'trump', 'trust', 'just', 'like', 'jfk', 'know', 'people', 'institutions', 'president']","[""RT @PepeDeluxeIf we don't have public trust our society will crumble We need exposure and truth because our institutions are corruptWe have to have disclosure or how are we to know what's true anymore?Why should I believe we have astronauts in space if they lie about the moon landing?How can we trust our institutions if they are performing Psyops on the people?That's why I am glad about the JFK files are coming out today though I didn't think it would be anything new"", 'THIS IS REALLY IMPORTANT hi guys im in here to say im completely devastated by the fact that mr marty saved that dog whiskey with one simple trick but he still died eventually and now the chocolate prices whats gonna be next, is people gonna say trump is bad? its not HIS FUALT that the tariff prices went up #unfiar #uneducated he is the man of the lord and a recreation of our favorite people in the world. if whiskey dies then everyone will eventually #unfair #raisemadagascarterrifs so guys basically russia (love you guys) is the best. that is because they dont have terrifs which means they are good. stop blaming trump for your own woes and you need to own up to your own depression caused by listening boe jiden. that man is SO old. do you think he remembers being president? all he spent his days is falling off bikes and down stairs. he would get lost in an open field with arrows pointing. and he would lost in mr president eyes. can we just recognize his eyes. he is soooo tall and handsome. DEFUND ABORTION. he is also great at golf, joey could never ever win against trump in a golf match. mr president is sooooo athletic. he is the best. the BESTEST. better than that. FUND GUNS. FUN GUNS. jd vance I get lost in your eyes(am I the only one who pictures him at night)? subtly. tim walz who are you and why are you so dumb trump is the embodiment of god fr. #heshoukdruletheworldourkibgdom.dragons yes. joe rogan can I get on your podcast. the moon landing is fake and from dei. do you really think a woman could go to space? why was luis armstrong in space if he was in drugs? dei is scamming right in your eyes #DEIGetLost deidiot. if you got this far than thanks you because a lot of people dont take the time to read the important stuff. I have my own opinions better than kamala. #cocoNUT she is an industry plant from DEI. do you really think a woman? could be president? no. why else would she just not be a man if she wanted to be the president and WOMEN ARE LIEUNG ABOUT PERIODS. so basically I know my worth as a woman. and I dont get those. like if you were bleeding then that wouldnt be good just suck it up. my children wake up everyday with a MOTHER. not a WORKER. everyone woman in corporate america is a terrible WOMAN. rfk is also my favorite. that worm mustve been rlly smart if it knew how to tell him how stupid vaccines are. if you get a vaccine and die eventually I hate to tell you it was that vaccine that autism that killed you! AND DOWN SYNDROME. do you want down syndrome? I do not. did you see how trump our superhero drank that bleach and got rid of covid? he could be his own rfk because he do every position in the government FOREVER. im running out of space but the point trying to get across is that the point in making is REAL. dont listen to the left. they are turning your children gay and trans. they are DOIBG IT DO THEIR MINDS. DEFUND you are great. I cant wait for my church service this weekend and drive my cybertruck', 'RT @preachtruthnotwarTHIS IS REALLY IMPORTANT hi guys im in here to say im completely devastated by the fact that mr marty saved that dog whiskey with one simple trick but he still died eventually and now the chocolate prices whats gonna be next, is people gonna say trump is bad? its not HIS FUALT that the tariff prices went up #unfiar #uneducated he is the man of the lord and a recreation of our favorite people in the world. if whiskey dies then everyone will eventually #unfair #raisemadagascarterrifs so guys basically russia (love you guys) is the best. that is because they dont have terrifs which means they are good. stop blaming trump for your own woes and you need to own up to your own depression caused by listening boe jiden. that man is SO old. do you think he remembers being president? all he spent his days is falling off bikes and down stairs. he would get lost in an open field with arrows pointing. and he would lost in mr president eyes. can we just recognize his eyes. he is soooo tall and handsome. DEFUND ABORTION. he is also great at golf, joey could never ever win against trump in a golf match. mr president is sooooo athletic. he is the best. the BESTEST. better than that. FUND GUNS. FUN GUNS. jd vance I get lost in your eyes(am I the only one who pictures him at night)? subtly. tim walz who are you and why are you so dumb trump is the embodiment of god fr. #heshoukdruletheworldourkibgdom.dragons yes. joe rogan can I get on your podcast. the moon landing is fake and from dei. do you really think a woman could go to space? why was luis armstrong in space if he was in drugs? dei is scamming right in your eyes #DEIGetLost deidiot. if you got this far than thanks you because a lot of people dont take the time to read the important stuff. I have my own opinions better than kamala. #cocoNUT she is an industry plant from DEI. do you really think a woman? could be president? no. why else would she just not be a man if she wanted to be the president and WOMEN ARE LIEUNG ABOUT PERIODS. so basically I know my worth as a woman. and I dont get those. like if you were bleeding then that wouldnt be good just suck it up. my children wake up everyday with a MOTHER. not a WORKER. everyone woman in corporate america is a terrible WOMAN. rfk is also my favorite. that worm mustve been rlly smart if it knew how to tell him how stupid vaccines are. if you get a vaccine and die eventually I hate to tell you it was that vaccine that autism that killed you! AND DOWN SYNDROME. do you want down syndrome? I do not. did you see how trump our superhero drank that bleach and got rid of covid? he could be his own rfk because he do every position in the government FOREVER. im running out of space but the point trying to get across is that the point in making is REAL. dont listen to the left. they are turning your children gay and trans. they are DOIBG IT DO THEIR MINDS. DEFUND you are great. I cant wait for my church service this weekend and drive my cybertruck']","2, truth, trump, trust, just",62
4,3,48,3_earth_sun_firmament_moon,"['earth', 'sun', 'firmament', 'moon', 'flat', 'time', 'space', 'dome', 'bible', 'waters']","['IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you.', 'IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you.', 'IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you.']","3, earth, sun, firmament, moon",48
5,4,35,4_nasa_nasa lies_recording_shot,"['nasa', 'nasa lies', 'recording', 'shot', 'wikileaks', 'fake', 'crew', 'exposed', 'lights', 'lies']","['#WikiLeaks #VIDEO #Lights crashing into #NeilArmstrong #NASA #LIES #EXPOSED #FAKE #MOON #LANDING #fakemoonlanding RECORDING #CREW IN SHOT', '#WikiLeaks #VIDEO #Lights crashing into #NeilArmstrong #NASA #LIES #EXPOSED #FAKE #MOON #LANDING #fakemoonlanding RECORDING #CREW IN SHOT', '#WikiLeaks #VIDEO #Lights crashing into #NeilArmstrong #NASA #LIES #EXPOSED #FAKE #MOON #LANDING #fakemoonlanding RECORDING #CREW IN SHOT']","4, nasa, nasa lies, recording, shot",35
6,5,23,5_sun_time_remove_sun moon,"['sun', 'time', 'remove', 'sun moon', 'gives', 'moon', 'bible', 'earth', 'completely', 'plasma']","['IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you. Donald Trump we can handle it please just let it out of the bag. Its time we completely remove the deep state grip. @realDonaldTrump', 'IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you. Donald Trump we can handle it please just let it out of the bag. Its time we completely remove the deep state grip. @realDonaldTrump', 'IM SORRY! IF YOU CANT SEE THAT WE HAVNT BEEN TO SPACE AFTER THESE VIDEOS GIVEN BY ELON AND THE NEWS AS REAL FOOTAGE THAN I DONT KNOW IF YOU EVER WILL!THESE ARE TOTALLY COMPUTER GRAPHICS! Ive looked at hours of footage from the past of us going to space and it is all fake. The moon landing completely fake. Now for the first time the world can see if they have eyes opened that it is all a hoax. The Bible is 100% correct. We lived in a fixed realm The sun and moon are what rotates. The sun gives us the day, the moon gives us the month and the stars gives us the year. Never changing the stars are always in the same place every divided the waters from the waters to create the firmament above us. Which no one has gotten in the Bible, stop the sun from moving not the Earth. Bible clearly says that there are four corners to the Earth you cant have that in a sun and moon are lights. The sun, the greater light, the moon, the lesser light. They are not made out of earth like the moon. Its plasma. The world is indeed fixated, half spherical flat plane. The sun and moon are within our firmament at the top. They are creative plasma. Its time to remove the ultimate lie thats been spread for decades. Why every president and pilot including NASA are all sworn to secrecy of not allowing the public to know that we live in a creative realm. This demonic force is wanting the people to believe that everything is random and that there is no God. Time to remove the ultimate veil! Christian pastors are waking up, but not fast enough. Its time to get back in the word and read what it says to get your truth and it will be right there in front of you. Donald Trump we can handle it please just let it out of the bag. Its time we completely remove the deep state grip. @realDonaldTrump']","5, sun, time, remove, sun moon",23
7,6,21,6_went_went moon_moon rt_went moon rt,"['went', 'went moon', 'moon rt', 'went moon rt', 'rt', 'moon', 'spaceisfake earthisflat firmament', 'spaceisfake earthisflat', 'earthisflat firmament', 'earthisflat']","['RT @Trump19thPresidentWe never went to the moon.', 'RT @Trump19thPresidentWe never went to the moon.', 'RT @LorettaDTrue and he never went to the moon']","6, went, went moon, moon rt, went moon rt",21
