,Topic,Count,Name,Representation,Representative_Docs,Rep_Words,Doc_Count
1,0,649,0_911_israel_people_did,"['911', 'israel', 'people', 'did', 'trump', 'world', 'attack', 'military', 'government', 'attacks']","['@White__Rabbit 916 We are saving Israel for specific reason not mentioned a single time.Q (aka General Mike Flynn, President Trump\'s National Security Advisor and commander of Q-GROUP NSA military police hunting CIA traitors, says $100M lawsuit by Flynn vs CNN. Flynn\'s brother is currently a 4-star general)22 years after the September 11th attacks, too many questions are still unanswered. The victims want answers! Stew Peters sits down for an exclusive in studio interview with 9/11 explosives expert John Lee. Hes waited a long time to share his story and youre not going to want to miss what this whistleblower has to say. Thats me. For some reason SP\'s editing team deleted all my contact info and name of my Pirate News TV and Radio Show and websites, to prevent viewers getting more information, prevent donations, prevent future inteviews. The next day Alex Jones from Infowars was inteviewed in same studio and same chair by SP. AJ is accused of working for Stratfor Security in Austin Texas that works for Mossad to defend jews, Israel and Rothschilds, and banned me from his $100,000 Filmfest for my 9/11 documentary 9/11 Toronto Report, interviewing an architect of World Trade Center who found 1000s of engineers who also agreed that WTC was bombed by controlled demolition that was edited out by SP replaced by laser beams from outer space to protect Israeli Mossad jews arrested on 9/11. My job in USAF was explosive controlled demolitions to destroy active US military bases and US military aircraft by detonating 100 nukes. I was an investigator on the law firm that won $10B judgement in US District Court for 3,000 murders on 9/11, against billionaire CIA agent Usama Bin Laden who defeated the communist Russian military in the first Afghanistan War, Arab CIA agents on trial at Gitmo for 9/11, Taliban that Joe Biden gave $100B in weapons to defeat USA in the Agganistan War, and Iran who Joe Biden gave $1T to attack USA with terrorism and nukes. On 9/11 I already had a class action lawsuit filed on 9/11 against our tranny Republican Skull n Bones mayor Victor Victoria Ashe, for running cartheft chopshop rackets with crooked cops and the kosher nostra mafiya who got the $3B contract at WTC for explosive controlled demolition ""after"" 9/11, that employed dozens of gangsters convicted by RICO Act for membership in Gambino and Genovese mafia, for defrauding $1M a year from WTC for a mob tax on garbage, as seen on TV in Modern Mobs on A&amp;E. Lauren Witzke was fired by Stew Peters 1 month after recruiting me for this interview, she was president and producer for SP. TORONTO REPORTinterview with WTC architect Dr David Johnson PhD who said 5,000 engineers and architects agree that WTC was bombed by explosive controlled demolition, which was my job in US Air Forceby Pirate News TV Pentagon hit by ground launched rocket on 9/11""We found another excellent website that details evidence of government knowledge and involvement, SEPTEMBER 911 SURPRISE. You have got to see this website!""--Alex Jones, Infowars TV and Radio Show, 31 October 2001Pirate News TV: NBC NEWS Lester the Molester Holt narrated History Channels 9/11 Conspiracies that showed my name n websites 9/11/2001 F16 Topgun fighter pilot Major Rick Gibney in ND ANG Happy Hooligans based at Langley VA and his commanding general disobeyed the illegal standown order from the British Canadian colonel at NORAD and VP Dick Tater Cheney to scramble and fire Sidewinder missiles to shootdown United Airline Flight 93 that crashed in Pennsylvania. Major Gibney was the only soldier on 9/11 to be awarded for heroism in the Congressional Record and by televised parade with ANG jet flyover for governor of ND, for saving the Capitol building in Washington DC and decapitation of government. Colonel Donn De Grandprix reported on the Infowars Alex Jones Show that his friend Major Gibney confessed this to him, they did their job and shot it down, that UA93 was flying by remote control in Operation Northwoods falseflag inside job attack drill with civilian ATC that went live, as reported by History Channel\'s 9/11 Conspiracies Fact and Fiction. Major Gibney was promoted to Lt Colonel then Colonel as Commander of the 119th Wing, North Dakota Air National Guard based in Fargo North Dakota, that operates the MQ-1 Predator Reaper unmanned drone and other aircraft. Retired March 14, 2013. This is why im on History Channels 9/11 Conspiracies with Alex Jones. NORTHWOODS 9/11', '@Wanderers_Choice 916 We are saving Israel for specific reason not mentioned a single time.Q (aka General Mike Flynn, President Trump\'s National Security Advisor and commander of Q-GROUP NSA military police hunting CIA traitors, says $100M lawsuit by Flynn vs CNN. Flynn\'s brother is currently a 4-star general)22 years after the September 11th attacks, too many questions are still unanswered. The victims want answers! Stew sits down for an exclusive in studio interview with 9/11 explosives expert John Lee. Hes waited a long time to share his story and youre not going to want to miss what this whistleblower has to say. Thats me. For some reason SP\'s editing team deleted all my contact info and name of my Pirate News TV and Radio Show and websites, to prevent viewers getting more information, prevent donations, prevent future inteviews. The next day Alex Jones from Infowars was inteviewed in same studio and same chair by SP. AJ is accused of working for Stratfor Security in Austin Texas that works for Mossad to defend jews, Israel and Rothschilds, and banned me from his $100,000 Filmfest for my 9/11 documentary 9/11 Toronto Report, interviewing an architect of World Trade Center who found 1000s of engineers who also agreed that WTC was bombed by controlled demolition that was edited out by SP replaced by laser beams from outer space to protect Israeli Mossad jews arrested on 9/11. My job in USAF was explosive controlled demolitions to destroy active US military bases and US military aircraft by detonating 100 nukes. I was an investigator on the law firm that won $10B judgement in US District Court for 3,000 murders on 9/11, against billionaire CIA agent Usama Bin Laden who defeated the communist Russian military in the first Afghanistan War, Arab CIA agents on trial at Gitmo for 9/11, Taliban that Joe Biden gave $100B in weapons to defeat USA in the Agganistan War, and Iran who Joe Biden gave $1T to attack USA with terrorism and nukes. On 9/11 I already had a class action lawsuit filed on 9/11 against our tranny Republican Skull n Bones mayor Victor Victoria Ashe, for running cartheft chopshop rackets with crooked cops and the kosher nostra mafiya who got the $3B contract at WTC for explosive controlled demolition ""after"" 9/11, that employed dozens of gangsters convicted by RICO Act for membership in Gambino and Genovese mafia, for defrauding $1M a year from WTC for a mob tax on garbage, as seen on TV in Modern Mobs on A&amp;E. Lauren Witzke was fired by Stew Peters 1 month after recruiting me for this interview, she was president and producer for SP. TORONTO REPORTinterview with WTC architect Dr David Johnson PhD who said 5,000 engineers and architects agree that WTC was bombed by explosive controlled demolition, which was my job in US Air Forceby Pirate News TV PENTAGON WHISTLEBLOWERSRAF UPPER HEYFORD20TH TACTICAL FIGHTER WINGUNITED STATES AIR FORCE hit by ground launched rocket on 9/11""We found another excellent website that details evidence of government knowledge and involvement, SEPTEMBER 911 SURPRISE. You have got to see this website!""--Alex Jones, Infowars TV and Radio Show, 31 October 2001Pirate News TV: NBC NEWS Lester the Molester Holt narrated History Channels 9/11 Conspiracies that showed my name n websites 9/11/2001 F16 Topgun fighter pilot Major Rick Gibney in ND ANG Happy Hooligans based at Langley VA and his commanding general disobeyed the illegal standown order from the British Canadian colonel at NORAD and VP Dick Tater Cheney to scramble and fire Sidewinder missiles to shootdown United Airline Flight 93 that crashed in Pennsylvania. Major Gibney was the only soldier on 9/11 to be awarded for heroism in the Congressional Record and by televised parade with ANG jet flyover for governor of ND, for saving the Capitol building in Washington DC and decapitation of government. Colonel Donn De Grandprix reported on the Infowars Alex Jones Show that his friend Major Gibney confessed this to him, they did their job and shot it down, that UA93 was flying by remote control in Operation Northwoods falseflag inside job attack drill with civilian ATC that went live, as reported by History Channel\'s 9/11 Conspiracies Fact and Fiction. Major Gibney was promoted to Lt Colonel then Colonel as Commander of the 119th Wing, North Dakota Air National Guard based in Fargo North Dakota, that operates the MQ-1 Predator Reaper unmanned drone and other aircraft. Retired March 14, 2013. This is why im on History Channels 9/11 Conspiracies with Alex Jones. NORTHWOODS 9/11', '""... there were trucks going into the World Trade Center around 3 amand they were departing about 5 am, just before the Triple A employeesof Wall Street came to work."" - Min 4:30EX-CIA AGENT EXPOSES REAL 911 MASTERMIND! the dots:9/11 WTC - Biggest Gold Heist in History: ~ $300 Billion in Gold Bars and about that art collection in building 7, who\'s got it now?Did that gold end up in the IMF vault?First the audits of the gold and UN pensions for people that hate us,then the claw back, then kick them the hell out of the WILL THERE BE AN AUDIT OF THE IMF\'S HUGE GOLD HOARD??... and how did they get it?(Ask NATO?&lt; AND since 2012 when that article was written what alsohappened to the gold of Libya? Egypt? Tunisia? Ukraine? soon Syria?)The IMF and World Bank are UN agencies of now countless agencies,commissions and organizations, one big Trojan Horse and tool of a fewdynastic families, sucking the wealth, sovereignty, freedoms and lifeout of the world.""The International Monetary Fund is the third-largest official holderof gold, with more than 2,814 tonnes.""(not one article about this since)10 nations that control the world\'s gold - MarketWatch Your Enemy Part 71 - Israeli Supreme Court - By The Fuel Project(They also funded the Knesset) Rothschilds Exposed 3/3min 1:40""The UN was created, October 24, 1945, ... the UN was created tocreate the state of Israel.""BTY who owned the land under the twin towers? Who hired the architectsto design them? Who had controlling interest in the (privately Jewowned) Federal Reserve (that designed the US dollars that can befolded into a pentagram) why was 911 said to be a \'blood sacrifice\'?(And I\'m sure Trump and his ""group of people"" knew nothing about this)""Bibi Netanyahu, the operational head of the KM, deployed the Mossadand these Dual Citizens to set up and institute this attack on Americawhich was to be blamed by the CMMM on Klaus part of that ""group of people""?Klaus Schwab in NYC on 9/11 #WEF informed their top Rabbis and Friends of World Zionism not tofly on that day and to stay out of NYC, as did Larry Silverstein,one of the primary men involved in the operation.""""... this is a very big secret and explains a lot of what has beengoing on inside America, all caused by Israel and the Khazarian Mafia(KM) which has infiltrated almost all of America\'s institutions ofGovernment and society."" project what they will do (like the Simpsons?).Who removed all the gold?Connect the dots:9/11 WTC - Biggest Gold Heist in History: ~ $300 Billion in Gold Bars and about that art collection in building 7, all removed justbefore the attack, who\'s got it now?Trump said we will find out who did 911 if he gets Health Tip: Don\'t hold your breath.(If he knows, why is he keeping it secret? Don\'t worry, the FBI is allover this .... right? Well, after they finish the Sandy Hook falseflag investigation)To \'pull\' (demolition terminology) a building the size of WTC7:Ittakes MONTHS (if not years, certainly NOT just hours) to prepare andsubmit bids, interview/hire award bids to contractors, plan/inspectthe structure surrounding property, engineer, order the rightexplosives and equipment, coordinate, set up, install explosives. Whatwas going on and stored in building 7?After decades of building in NYC Trump knows a lot of people there and(allegedly) very connected with the Jewish NY mafia. Trump\'s friends,family, business associates, legal teams and Manhattan\'s wealthiestelite, etc., are all Chabad WERE THESE CONTRACTORS TRUMP, \'ANY\' construction in Jew mafiacontrolled NYC, you know them all? WHO PLANTED THE BOMBS?Min 10:30, then min 5:45: Larry Silverstein - Controlled Demolition HEADMITS THEY PULLED wtc 7 9/11 Money Trail:']","0, 911, israel, people, did",649
2,1,60,1_johnson_ron_ron johnson_senator,"['johnson', 'ron', 'ron johnson', 'senator', 'investigation', 'senator ron', 'senator ron johnson', 'new investigation', 'demands', 'johnson links wtc']","['Senator Ron Johnson Links WTC Building 7 to 9/11 Cover-Up, Demands New Investigation Into the Attacks', 'Senator Ron Johnson Links WTC Building 7 to 9/11 Cover-Up, Demands New Investigation Into the Attacks', 'Senator Ron Johnson Links WTC Building 7 to 9/11 Cover-Up, Demands New Investigation Into the Attacks']","1, johnson, ron, ron johnson, senator",60
3,2,28,2_israel_palestine_lavon_egypt,"['israel', 'palestine', 'lavon', 'egypt', 'british', 'zionist', 'israelis', 'good', 'group', 'false flag']","['Zionist Israel originated with the 1917 Balfour Declaration, where British Zionists invented a fictitious country of ""Israel"" over top of Palestine. Palestine had existed for centuries, peacefully. After World War II the Irgun Group, led by Menachim Begin, took over Palestine violently. In 1954 the Israelis executed a false flag named after Pinhas Lavon (The Lavon Affair) where US and British property in Egypt was sabotaged by the Israelis. And in 1967 they also attacked the USS Liberty, their goal was to blame Egypt, but they got caught. 9/11 was plotted by the Zionist group Project For A New American century - all members had dual US / Israeli citizenship. When Benjamin Netanyahu was asked, shortly after 9/11, what 9/11 meant for US and Israeli relations, he said, ""It\'s very good. Well, not good, but it will generate immediate sympathy for Israel."" Afterward, the US Military did Israel\'s bidding and invaded nearly all of its nearby enemies in the region (Libya, Syria, Iraq). These nations were not attacking Israel -- Israel was the aggressor (US Military by proxy.)Trump has always been completely aware of the 9/11 False Flag that was orchestrated by Israel and he has always been longtime friends with all the participants, like Larry Silverstein and Neatanyahu.9/11 &amp; Israel:', '@spud11 Zionist Israel originated with the 1917 Balfour Declaration, where British Zionists invented a fictitious country of ""Israel"" over top of Palestine. Palestine had existed for centuries, peacefully. After World War II the Irgun Group, led by Menachim Begin, took over Palestine violently. In 1954 the Israelis executed a false flag named after Pinhas Lavon (The Lavon Affair) where US and British property in Egypt was sabotaged by the Israelis. And in 1967 they also attacked the USS Liberty, their goal was to blame Egypt, but they got caught. 9/11 was plotted by the Zionist group Project For A New American century - all members had dual US / Israeli citizenship. When Benjamin Netanyahu was asked, shortly after 9/11, what 9/11 meant for US and Israeli relations, he said, ""It\'s very good. Well, not good, but it will generate immediate sympathy for Israel."" Afterward, the US Military did Israel\'s bidding and invaded nearly all of its nearby enemies in the region (Libya, Syria, Iraq). These nations were not attacking Israel -- Israel was the aggressor (US Military by proxy.)Trump has always been completely aware of the 9/11 False Flag that was orchestrated by Israel and he has always been longtime friends with all the participants, like Larry Silverstein and Neatanyahu.9/11 &amp; Israel:', 'Zionist Israel originated with the 1917 Balfour Declaration, where British Zionists invented a fictitious country of ""Israel"" over top of Palestine. Palestine had existed for centuries, peacefully. After World War II the Irgun Group, led by Menachim Begin, took over Palestine violently. In 1954 the Israelis executed a false flag named after Pinhas Lavon (The Lavon Affair) where US and British property in Egypt was sabotaged by the Israelis. And in 1967 they also attacked the USS Liberty, their goal was to blame Egypt, but they got caught. 9/11 was plotted by the Zionist group Project For A New American century - all members had dual US / Israeli citizenship. When Benjamin Netanyahu was asked, shortly after 9/11, what 9/11 meant for US and Israeli relations, he said, ""It\'s very good. Well, not good, but it will generate immediate sympathy for Israel."" Afterward, the US Military did Israel\'s bidding and invaded nearly all of its nearby enemies in the region (Libya, Syria, Iraq). These nations were not attacking Israel -- Israel was the aggressor (US Military by proxy.)Trump has always been completely aware of the 9/11 False Flag that was orchestrated by Israel and he has always been longtime friends with all the participants, like Larry Silverstein and Neatanyahu.9/11 &amp; Israel:']","2, israel, palestine, lavon, egypt",28
4,3,25,3_called_doing_fires_filthy,"['called', 'doing', 'fires', 'filthy', 'attacks', 'gvt', 'watch', 'disasters', 'dew', 'called fires']","['@AmericanFamilyNews Everyone needs to watch this. The so called fires are really DEW ATTACKS, and they have been doing this to us since and oncluding the 9/11 attacks. Maybe before then, too. HERE. AND REPOST THIS. PEOPLE NEED TO KNOW WHAT OUR FILTHY GVT IS DOING TO US! All OTHER so called natural disasters are ALL GEOENGINEERED AS WELL.', '@GuardAmerican @WarEagle82 Everyone needs to watch this. The so called fires are really DEW ATTACKS, and they have been doing this to us since and oncluding the 9/11 attacks. Maybe before then, too. HERE. AND REPOST THIS. PEOPLE NEED TO KNOW WHAT OUR FILTHY GVT IS DOING TO US! All OTHER so called natural disasters are ALL GEOENGINEERED AS WELL.', '@americanfamilyradio Everyone needs to watch this. The so called fires are really DEW ATTACKS, and they have been doing this to us since and oncluding the 9/11 attacks. Maybe before then, too. HERE. AND REPOST THIS. PEOPLE NEED TO KNOW WHAT OUR FILTHY GVT IS DOING TO US! All OTHER so called natural disasters are ALL GEOENGINEERED AS WELL.']","3, called, doing, fires, filthy",25
